Lead ID,Date,Campaign ID,State,Lead Status,Cost,Conversion Date
L00273,2026-07-17,CMP-103,NC,In Progress,,
L00456,2026-07-27,CMP-109,NY,In Progress,35.69,
L00308,2026-07-19,CMP-101,CO,Rejected,25.98,
L00054,2026-07-03,CMP-113,CA,No Contact,,
L00454,2026-07-27,CMP-108,PA,Converted,27.39,2026-07-29
L00439,2026-07-26,CMP-112,CA,Converted,16.02,2026-07-27
L00431,2026-07-26,CMP-104,NC,Rejected,13.75,
L00205,2026-07-12,CMP-107,OH,No Contact,33.47,
L00096,2026-07-06,CMP-103,PA,No Contact,23.3,
L00256,2026-07-15,CMP-108,PA,Rejected,29.72,
L00244,2026-07-14,CMP-111,TX,No Contact,27.72,
L00299,2026-07-18,CMP-110,WA,No Contact,23.16,
L00390,2026-07-24,CMP-101,NY,Converted,30.35,2026-07-25
L00267,2026-07-16,CMP-107,AZ,In Progress,34.1,
L00477,2026-07-28,CMP-113,WA,Rejected,12.42,
L00130,2026-07-07,CMP-106,NY,Rejected,19.25,
L00340,2026-07-20,CMP-109,FL,In Progress,27.62,
L00459,2026-07-27,CMP-113,IL,No Contact,12.53,
L00483,2026-07-29,CMP-105,WA,Rejected,8.79,
L00507,2026-07-30,CMP-106,OH,In Progress,17.06,
L00156,2026-07-09,CMP-108,PA,Converted,26.63,2026-07-12
L00372,2026-07-22,CMP-112,NC,No Contact,17.4,
L00140,2026-07-07,CMP-113,IL,No Contact,11.31,
L00286,2026-07-17,CMP-112,GA,In Progress,13.61,
L00110,2026-07-06,CMP-109,NC,In Progress,39.13,
L00426,2026-07-25,CMP-113,NC,Rejected,12.18,
L00138,2026-07-07,CMP-112,NY,Converted,20.57,2026-07-08
L00332,2026-07-20,CMP-104,IL,In Progress,13.21,
L00124,2026-07-07,CMP-103,OH,Rejected,23.65,
L00147,2026-07-08,CMP-112,FL,Rejected,16.54,
L00097,2026-07-06,CMP-103,IL,No Contact,27.72,
L00184,2026-07-11,CMP-106,PA,Rejected,13.94,
L00268,2026-07-16,CMP-108,GA,In Progress,33.21,
L00062,2026-07-04,CMP-103,NY,No Contact,25.92,
L00388,2026-07-24,CMP-101,WA,No Contact,30.96,
L00272,2026-07-17,CMP-103,NY,No Contact,22.09,
L00058,2026-07-04,CMP-103,WA,No Contact,31.77,
L00377,2026-07-23,CMP-108,WA,In Progress,26.1,
L00088,2026-07-05,CMP-107,CA,Rejected,34.45,
L00414,2026-07-25,CMP-105,IL,No Contact,11.26,
L00382,2026-07-23,CMP-110,NY,Rejected,29.5,
L00528,2026-07-31,CMP-106,FL,In Progress,18.58,
L00144,2026-07-08,CMP-108,AZ,No Contact,28.02,
L00248,2026-07-15,CMP-102,NC,Converted,33.44,2026-07-20
L00137,2026-07-07,CMP-112,NY,Rejected,13.47,
L00380,2026-07-23,CMP-109,PA,Converted,42.68,2026-07-30
L00467,2026-07-28,CMP-109,OH,Rejected,,
L00355,2026-07-21,CMP-110,OH,No Contact,35.13,
L00057,2026-07-04,CMP-102,IL,Rejected,32.23,
L00089,2026-07-05,CMP-108,AZ,Converted,24.33,2026-07-08
L00306,2026-07-18,CMP-113,CO,In Progress,13.21,
L00488,2026-07-29,CMP-108,NC,Converted,20.02,2026-08-06
L00084,2026-07-05,CMP-107,WA,Rejected,34.59,
L00040,2026-07-02,CMP-110,WA,Rejected,33.39,
L00271,2026-07-17,CMP-101,NY,Converted,25.34,2026-07-19
L00391,2026-07-24,CMP-102,NY,Rejected,34.9,
L00522,2026-07-31,CMP-101,OH,No Contact,37.63,
L00481,2026-07-29,CMP-103,CO,Rejected,33.83,
L00476,2026-07-28,CMP-113,OH,No Contact,12.83,
L00071,2026-07-04,CMP-108,PA,Converted,21.07,2026-07-12
L00045,2026-07-03,CMP-102,NC,In Progress,28.22,
L00412,2026-07-25,CMP-103,FL,No Contact,20.01,
L00100,2026-07-06,CMP-104,WA,Converted,12.55,2026-07-09
L00283,2026-07-17,CMP-109,NC,No Contact,39.78,
L00527,2026-07-31,CMP-104,NY,In Progress,11.35,
L00260,2026-07-15,CMP-112,FL,In Progress,12.0,
L00197,2026-07-12,CMP-102,CO,In Progress,31.2,
L00218,2026-07-12,CMP-112,NY,No Contact,13.32,
L00347,2026-07-21,CMP-103,FL,Rejected,28.02,
L00490,2026-07-29,CMP-111,TX,In Progress,22.75,
L00326,2026-07-20,CMP-102,IL,Rejected,31.26,
L00010,2026-07-01,CMP-105,NY,No Contact,11.3,
L00396,2026-07-24,CMP-108,IL,No Contact,26.79,
L00520,2026-07-30,CMP-113,GA,No Contact,13.34,
L00358,2026-07-22,CMP-103,NC,No Contact,20.78,
L00189,2026-07-11,CMP-110,OH,No Contact,32.08,
L00224,2026-07-13,CMP-102,PA,No Contact,28.16,
L00215,2026-07-12,CMP-111,GA,Rejected,23.34,
L00289,2026-07-18,CMP-102,WA,No Contact,27.62,
L00061,2026-07-04,CMP-103,PA,No Contact,29.8,
L00163,2026-07-10,CMP-102,IL,No Contact,26.81,
L00511,2026-07-30,CMP-108,IL,Converted,30.6,2026-08-04
L00334,2026-07-20,CMP-105,NC,No Contact,10.29,
L00525,2026-07-31,CMP-103,CA,No Contact,28.91,
L00275,2026-07-17,CMP-104,NY,No Contact,,
L00203,2026-07-12,CMP-106,FL,Rejected,15.79,
L00484,2026-07-29,CMP-105,CO,Rejected,,
L00532,2026-07-31,CMP-109,NY,No Contact,40.32,
L00154,2026-07-09,CMP-106,AZ,Rejected,18.74,
L00034,2026-07-02,CMP-108,IL,In Progress,27.2,
