date_key,year,month_number,month_name,week_start,week_label,day_name,day_of_week_number,is_weekend
2026-07-01,2026,7,July,2026-06-29,Week 1,Wednesday,3,false
2026-07-02,2026,7,July,2026-06-29,Week 1,Thursday,4,false
2026-07-03,2026,7,July,2026-06-29,Week 1,Friday,5,false
2026-07-04,2026,7,July,2026-06-29,Week 1,Saturday,6,true
2026-07-05,2026,7,July,2026-06-29,Week 1,Sunday,0,true
2026-07-06,2026,7,July,2026-07-06,Week 2,Monday,1,false
2026-07-07,2026,7,July,2026-07-06,Week 2,Tuesday,2,false
2026-07-08,2026,7,July,2026-07-06,Week 2,Wednesday,3,false
2026-07-09,2026,7,July,2026-07-06,Week 2,Thursday,4,false
2026-07-10,2026,7,July,2026-07-06,Week 2,Friday,5,false
2026-07-11,2026,7,July,2026-07-06,Week 2,Saturday,6,true
2026-07-12,2026,7,July,2026-07-06,Week 2,Sunday,0,true
2026-07-13,2026,7,July,2026-07-13,Week 3,Monday,1,false
2026-07-14,2026,7,July,2026-07-13,Week 3,Tuesday,2,false
2026-07-15,2026,7,July,2026-07-13,Week 3,Wednesday,3,false
2026-07-16,2026,7,July,2026-07-13,Week 3,Thursday,4,false
2026-07-17,2026,7,July,2026-07-13,Week 3,Friday,5,false
2026-07-18,2026,7,July,2026-07-13,Week 3,Saturday,6,true
2026-07-19,2026,7,July,2026-07-13,Week 3,Sunday,0,true
2026-07-20,2026,7,July,2026-07-20,Week 4,Monday,1,false
2026-07-21,2026,7,July,2026-07-20,Week 4,Tuesday,2,false
2026-07-22,2026,7,July,2026-07-20,Week 4,Wednesday,3,false
2026-07-23,2026,7,July,2026-07-20,Week 4,Thursday,4,false
2026-07-24,2026,7,July,2026-07-20,Week 4,Friday,5,false
2026-07-25,2026,7,July,2026-07-20,Week 4,Saturday,6,true
2026-07-26,2026,7,July,2026-07-20,Week 4,Sunday,0,true
2026-07-27,2026,7,July,2026-07-27,Week 5,Monday,1,false
2026-07-28,2026,7,July,2026-07-27,Week 5,Tuesday,2,false
2026-07-29,2026,7,July,2026-07-27,Week 5,Wednesday,3,false
2026-07-30,2026,7,July,2026-07-27,Week 5,Thursday,4,false
2026-07-31,2026,7,July,2026-07-27,Week 5,Friday,5,false
