lead_id,lead_date,campaign_id,state_code,lead_status,is_converted,acquisition_cost,commission_revenue,is_cost_imputed
L00001,2026-07-01,CMP-101,PA,Converted,1,27.0,165,false
L00002,2026-07-01,CMP-101,IL,Rejected,0,28.72,0,false
L00003,2026-07-01,CMP-101,AZ,In Progress,0,32.25,0,false
L00004,2026-07-01,CMP-102,IL,Rejected,0,32.06,0,false
L00005,2026-07-01,CMP-103,IL,In Progress,0,25.61,0,false
L00006,2026-07-01,CMP-103,FL,Rejected,0,28.34,0,false
L00007,2026-07-01,CMP-104,GA,No Contact,0,14.76,0,false
L00008,2026-07-01,CMP-104,TX,Rejected,0,14.01,0,false
L00009,2026-07-01,CMP-104,TX,In Progress,0,11.17,0,false
L00010,2026-07-01,CMP-105,NY,No Contact,0,11.3,0,false
L00011,2026-07-01,CMP-105,IL,Rejected,0,11.38,0,false
L00012,2026-07-01,CMP-106,NC,Rejected,0,21.23,0,false
L00013,2026-07-01,CMP-106,CA,No Contact,0,14.37,0,false
L00014,2026-07-01,CMP-107,IL,Rejected,0,33.06,0,false
L00015,2026-07-01,CMP-107,CA,No Contact,0,35.0,0,true
L00016,2026-07-01,CMP-109,FL,No Contact,0,38.72,0,false
L00017,2026-07-01,CMP-110,TX,Rejected,0,29.65,0,false
L00018,2026-07-01,CMP-111,TX,Rejected,0,25.29,0,false
L00019,2026-07-01,CMP-111,PA,No Contact,0,22.78,0,false
L00020,2026-07-01,CMP-112,NC,Converted,1,14.09,90,false
L00021,2026-07-01,CMP-113,IL,No Contact,0,13.06,0,false
L00022,2026-07-01,CMP-113,GA,Rejected,0,11.51,0,false
L00023,2026-07-02,CMP-101,GA,No Contact,0,29.72,0,false
L00024,2026-07-02,CMP-102,WA,No Contact,0,28.17,0,false
L00025,2026-07-02,CMP-102,IL,Converted,1,29.62,160,false
L00026,2026-07-02,CMP-103,CA,Rejected,0,23.15,0,false
L00027,2026-07-02,CMP-105,GA,Rejected,0,9.06,0,false
L00028,2026-07-02,CMP-105,GA,Rejected,0,13.64,0,false
L00029,2026-07-02,CMP-106,OH,Rejected,0,16.24,0,false
L00030,2026-07-02,CMP-106,OH,Rejected,0,20.3,0,false
L00031,2026-07-02,CMP-107,TX,Rejected,0,32.96,0,false
L00032,2026-07-02,CMP-108,NY,Rejected,0,22.99,0,false
L00033,2026-07-02,CMP-108,GA,No Contact,0,23.44,0,false
L00034,2026-07-02,CMP-108,IL,In Progress,0,27.2,0,false
L00035,2026-07-02,CMP-109,NY,Rejected,0,35.93,0,false
L00036,2026-07-02,CMP-110,GA,No Contact,0,35.12,0,false
L00037,2026-07-02,CMP-110,CA,No Contact,0,31.68,0,false
L00038,2026-07-02,CMP-110,CO,Rejected,0,37.41,0,false
L00039,2026-07-02,CMP-110,PA,Rejected,0,31.0,0,true
L00040,2026-07-02,CMP-110,WA,Rejected,0,33.39,0,false
L00041,2026-07-02,CMP-110,CO,No Contact,0,30.39,0,false
L00042,2026-07-02,CMP-113,CA,No Contact,0,12.0,0,true
L00043,2026-07-03,CMP-102,CO,In Progress,0,27.32,0,false
L00044,2026-07-03,CMP-102,NY,No Contact,0,33.65,0,false
L00045,2026-07-03,CMP-102,NC,In Progress,0,28.22,0,false
L00046,2026-07-03,CMP-103,OH,No Contact,0,35.16,0,false
L00047,2026-07-03,CMP-104,NY,Rejected,0,14.88,0,false
L00048,2026-07-03,CMP-104,IL,Rejected,0,12.75,0,false
L00049,2026-07-03,CMP-104,NY,In Progress,0,16.45,0,false
